year,Electricity & heat,Petroleum refining,Other (energy systems),Metals,Chemicals,Other (industry),Aviation,Road,Rail ,Shipping,Other (transport),Residential,Coal mining fugitive emissions,Oil and gas fugitive emissions,Cement,Enteric Fermentation (CH4),"Manure management (N2O, CH4)",Rice cultivation (CH4),"Managed soils and pasture (CO2, N2O)","Biomass burning (CH4, N2O)",Waste
2000,9574931.044040123,1218573.5159297904,51905.545,5579323.920193302,1011101.4445991821,938448.0730101534,680115.9723122739,4367263.15062396,94007.2838132691,631470.5623261184,140013.26982466725,6270931.601877549,986082.418192861,2157882.3240746814,731093.8430799998,2567637.131612002,386569.7258563918,937812.2958436984,1437994.7149396224,801637.0074718255,1863018.6392862704
2001,9802082.552650377,1269144.7001005607,51905.545,5574346.585222525,991559.98382694,972136.2416259957,664338.4286763777,4438979.128127985,90523.77342400448,605984.0876913267,143861.8193904533,6266002.009262226,970832.0070205153,2140392.3611858133,760381.4686000001,2577956.418339118,384628.96841643617,925418.6086307822,1449320.2529318195,825504.3214896539,1862159.100321589
2002,9961581.169956524,1327091.6250495773,51905.545,5633889.452196519,994443.3084107535,1032572.7153238828,671090.2803335281,4569140.8966508955,92729.88651887987,623039.2297315821,146296.46807876765,6288927.85820226,978613.7516719421,2077621.9719334566,807577.2384239999,2610503.8646097598,388918.6304020714,916157.1763912927,1479640.7247504129,818148.585104755,1877165.1769258825
2003,10534798.527237726,1392937.7127782027,51905.545,5861415.049121255,1029493.1406480185,1080809.535322664,666815.3585795476,4679802.470212509,95799.64230242812,640691.9516178347,151195.08488798697,6430025.112520296,1087104.0210886851,2250954.538061651,888999.2020000005,2649283.349548641,390166.0644925306,910627.2879171758,1506439.0892400478,847215.7512477906,1909032.927120481
2004,10931121.00032565,1403242.85933889,51905.545,6382217.6625542855,1102169.5470540016,1135675.3592860904,709960.6823131334,4867312.548427748,103639.5951859464,689717.1034155575,159240.5584933331,6512166.886126175,1175187.6606900545,2242596.8671002155,950509.0164599998,2690578.880130962,391181.5559325566,942465.8132918369,1548065.4576549965,878765.8144275581,1938275.758323382
2005,11296446.46022745,1437364.9518412347,51905.545,6775215.94696068,1167858.747371219,1168342.898688744,738502.955062805,4955674.466115863,110565.16075303021,712076.0233184039,165379.64070038518,6563668.584883989,1255512.821955955,2284132.9819789263,1023956.7581800004,2714334.9314144007,394385.0230439692,970916.5899548021,1550824.112183138,897927.0810573647,1960331.5616133593
2006,11741450.936502922,1497019.6284477317,51905.545,7127290.134911954,1222473.4819678855,1136964.8025196379,747289.957239553,5068289.4477894725,115917.35799901461,758778.2522601217,162817.56048022895,6550979.208843724,1320305.9602296604,2306531.0374031477,1125731.8169799997,2749304.8086061613,399679.5249791459,981457.1065376677,1585812.73163673,907928.2126649206,2011585.9152781628
2007,12261765.441236826,1576191.2247211463,51905.545,7523437.606255052,1241186.4793330438,1173179.187994801,767044.5775104461,5234899.29167199,115556.49470883863,798415.7577334695,172912.15238585064,6524406.927955738,1345526.4657473592,2281902.725355003,1244837.7981,2787519.5873011188,401968.2972279631,985643.2025467947,1603251.4344876523,937920.3298417763,2044874.4490022585
2008,12290465.073077574,1605708.5678278673,51905.545,7613788.661895332,1187520.854237484,1206644.1982836027,759918.4994196462,5306249.331696864,105874.64072864308,784647.6194979897,173494.66585488713,6582033.701002906,1345864.8337234994,2355791.0059673204,1240590.8281399992,2821523.4403070416,406774.4828590669,1016932.0476734287,1602015.2053832859,999991.6042144219,2066641.8233036518
2009,12117122.335599272,1584056.0207328536,51905.545,7528595.633215985,1162362.6559859822,1215816.4717564716,718942.9762564852,5287994.194368164,91773.32385685848,757357.4171528694,149196.86741967802,6500884.162200278,1357447.578905092,2324376.430390698,1293603.7498799996,2835652.873184879,408092.4912155046,1015753.2086414024,1640847.308801398,988398.8216193154,2076340.850415118
2010,12953135.350594139,1697928.3996604155,51905.545,8161731.695613327,1246582.5225846719,1260243.7459796101,757724.3265923714,5495824.367902557,95100.65709310427,803536.5796051762,160274.16971444854,6579513.869543885,1414434.2291197751,2379253.172128176,1387956.01532,2847432.460042801,410218.64875934547,1031395.0150351974,1651026.5723785243,1017419.4407645734,2097264.4206009614
2011,13565034.16149035,1688342.2371234023,51905.545,8477665.954166386,1320090.5277341807,1287223.056325104,778262.9070034979,5572066.919378496,106750.60100607028,817925.6173052355,159987.1673398615,6502540.859976824,1556798.8549422298,2427028.908076612,1477584.4832800005,2867207.987932961,409209.8585522162,1035214.459510276,1690942.2470221177,1059444.9999975574,2135775.5061878203
2012,13898694.818187598,1702563.9516568093,51905.545,8562050.497655058,1373095.083566902,1355839.698696217,787701.4242700797,5694540.342205638,101060.18289940298,779348.3209904933,151296.9467397466,6437814.582091176,1602359.5357074498,2486844.5253054304,1534617.37633,2895985.20605968,412862.4720385481,1032160.6209040639,1701500.2944294105,1058905.979313346,2163828.48093703
2013,14165241.589363588,1749886.7662005108,51905.545,8704824.390631914,1399897.3447859157,1403916.0540826542,807024.9616152599,5867410.8822876075,101415.32290854705,783711.5926920631,159212.71638197007,6570746.969713321,1572711.1868819643,2502522.1745900796,1366458.0460600005,2913618.3830801607,414981.9314770803,1041850.2225655706,1737263.6020421125,1106802.9780132675,2206268.4664421347
2014,14263892.962676669,1634058.0575816513,51905.545,8742164.995731927,1436955.885756665,1449585.6864155892,833216.9995816549,5955952.401575893,100345.49802205403,805475.5248696572,160088.8755402694,6516889.027950097,1662586.5044869485,2540202.0435318667,1399344.3853999993,2932333.4780011987,420030.8732987303,1033354.1751273843,1736990.9374032342,1114977.9442141415,2241751.7155798627
2015,13974308.316473385,1674917.6008058137,51905.545,8618313.392493583,1393823.0027872704,1480990.0744496041,879942.8514276447,6126618.965937992,101223.99756946412,825787.3990895656,162990.73584590908,6504551.59629955,1647965.0157074465,2553064.0093920943,1367798.6921000003,2967345.4281127984,424385.0628970035,1028266.727937118,1753633.5611279798,1112043.7006217141,2282945.0556520564
2016,14115793.824478524,1624423.841362997,51905.545,8438607.256149247,1440508.572547226,1521099.5956728861,922585.2678376674,6222929.28631165,99640.90025202486,848736.3894346511,158237.2853831271,6513615.233258464,1566065.0159904393,2600829.5131395063,1419133.2864580015,2998565.9545911984,428727.5136348749,1032495.3112052596,1770525.729359309,1123397.8791683244,2315868.34918933
2017,14473971.9913986,1652748.4535363705,51905.545,8411107.412357874,1465937.562996244,1561858.3905024754,982340.7998606173,6333252.116159906,102177.53099170573,883468.9417291672,161714.5160845101,6616231.398362029,1630810.0672241133,2624256.255735564,1455249.1899517463,3011989.702391601,431495.6898155727,1042192.6553126276,1777530.1436184344,1171677.956983668,2357706.8815927263
2018,14974063.560123367,1664838.5666200954,51905.545,8578145.757449113,1487855.183454566,1611520.3171635852,1026632.1633553058,6416031.726775604,113154.4359133785,884913.0703515373,174996.05543487877,6627175.417531584,1727661.3145895111,2693918.5861137165,1510321.5144106902,3033086.6932688,433918.08059989184,1042278.0277541078,1769040.1665135538,1164361.533045068,2399429.271481462
2019,14905572.504140556,1741462.385683881,51905.545,8665017.806809556,1498191.1558865537,1660070.5576517947,1041844.0686989947,6447344.352657735,114458.09883924064,874600.36558489,172867.79579289813,6586967.949211574,1797394.174637801,2772727.3208905347,1538812.080383802,3062439.4541643728,425855.38740462746,1020059.7465421635,1777761.213679988,1158629.031806916,2437960.9764901935
2020,14307056.91524562,1652493.7135529476,51905.545,8482297.084080169,1491376.43359162,1690342.7046515525,609345.7217134052,5824837.97051686,103549.57873455937,844393.741941901,167108.1370276293,6424705.1843131,1899626.6154472176,2625652.4982774835,1579322.7441036454,3108826.0914822905,438882.1980211511,1034279.7441980813,1795385.0319958613,1170466.7046555302,2478867.858697052
2021,15082189.665332993,1731248.0369595734,51905.545,8848035.142397359,1519900.6208318002,1780845.6691882433,700033.0404170838,6192661.387531933,110133.21474115596,887575.154000847,177899.8785870305,6589163.1934354585,1955818.9545750297,2557054.459005205,1573823.4895431031,3157338.850819266,445589.76428757113,1035372.0672960336,1815270.2302150638,1181611.448671279,2517821.7831053394
